state,abbr,ecv,clinton,trump,others,totalVotes,ballots,vep,vap
Alabama,AL,9,725704,1314431,73828,2113963,2115000,3606103,3773719
Alaska,AK,3,97677,137175,31884,266736,315000,519501,554802
Arizona,AZ,11,1123669,1218966,135280,2477915,2670000,4738332,5332446
Arkansas,AR,6,378776,682136,64861,1125773,1127000,2148441,2290976
California,CA,55,6564098,3509319,584645,10658062,13600000,25278803,30523307
Colorado,CO,9,1318239,1188678,234671,2741588,2700000,3978892,4319529
Connecticut,CT,7,895223,673066,73379,1641668,1610000,2572337,2834267
Delaware,DE,3,235581,185103,20851,441535,443000,693659,755123
"Washington, D.C.",DC,3,260223,11553,14499,286275,288000,516771,568165
Florida,FL,29,4501455,4615910,298273,9415638,9580000,14601373,16601383
Georgia,GA,16,1877911,2089062,125293,4092266,4175000,6958725,7852857
Hawaii,HI,4,266828,128816,33183,428827,437600,1029072,1133641
Idaho,ID,4,190383,410269,91564,692216,693000,1161211,1247038
Illinois,IL,20,3034833,2125421,281482,5441736,5400000,8983758,9913610
Indiana,IN,11,1036426,1556122,137466,2730014,2731000,4860929,5073952
Iowa,IA,6,652820,800467,110872,1564159,1575000,2297129,2413678
Kansas,KS,6,414788,656009,76348,1147145,1150000,2065761,2206389
Kentucky,KY,8,628834,1202942,91570,1923346,1950000,3276707,3430201
Louisiana,LA,8,779808,1178459,70217,2028484,2030000,3391431,3582215
Maine,ME,4,354873,334878,51239,740990,740000,1058306,1075396
Maryland,MD,10,1572363,910437,149710,2632510,2580000,4202282,4701258
Massachusetts,MA,11,1964433,1082521,183619,3230573,3253000,4978165,5477195
Michigan,MI,16,2268193,2279805,242806,4790804,4800000,7431589,7754185
Minnesota,MN,10,1367838,1323239,254296,2945373,2946000,3972330,4245020
Mississippi,MS,6,461105,675842,13757,1150704,1165000,2177349,2269052
Missouri,MO,10,1054889,1585753,147380,2788022,2800000,4519978,4720503
Montana,MT,3,174461,274119,36467,485047,510000,803833,817161
Nebraska,NE,5,273185,485372,45914,804471,835000,1353558,1440465
Nevada,NV,6,537753,511319,73918,1122990,1125000,1970426,2282757
New Hampshire,NH,4,348484,345783,37664,731931,732000,1041147,1075861
New Jersey,NJ,14,2075552,1568640,117624,3761816,3610000,6093144,7003323
New Mexico,NM,5,383401,317310,92894,793605,800000,1459901,1594305
New York,NY,29,4149500,2639994,323624,7113118,7175000,13693128,15675178
North Carolina,NC,15,2163045,2340075,186212,4689332,4725000,7317507,7879993
North Dakota,ND,3,93526,216133,33666,343325,345000,582534,599062
Ohio,OH,18,2317001,2771984,236410,5325395,5650000,8753269,9023729
Oklahoma,OK,7,420375,949136,83481,1452992,1455000,2792423,2982904
Oregon,OR,7,975035,762598,209164,1946797,2010000,3006638,3237993
Pennsylvania,PA,20,2844705,2912941,212461,5970107,5965000,9737690,10146780
Rhode Island,RI,4,250242,179447,30870,460559,462000,786111,849165
South Carolina,SC,9,855373,1155389,92265,2103027,2105000,3702997,3880323
South Dakota,SD,3,117442,227701,24904,370047,371000,632098,652981
Tennessee,TN,11,869189,1521162,100448,2490799,2500000,4900137,5166504
Texas,TX,38,3868291,4683352,383075,8934718,8950000,17514961,20812008
Utah,UT,6,274223,452323,258677,985223,925000,1993581,2142938
Vermont,VT,3,178572,95362,39796,313730,321000,496439,507643
Virginia,VA,13,1981619,1769603,231866,3983088,3970000,6061032,6586434
Washington,WA,12,1610524,1129120,218298,2957942,3200000,5123524,5691442
West Virginia,WV,5,187457,486198,34571,708226,729000,1430308,1457003
Wisconsin,WI,10,1382210,1409467,152943,2944620,2935000,4295057,4502492
Wyoming,WY,3,55964,174383,18545,248892,259000,431011,449055
,,538,62414099,61255290,6868730,130538119,134537600,226991388,251107406
