Alabama 	WTA 	718,084 	34.55% 	– 	1,306,925 	62.89% 	9 	43,869 	2.11% 	– 	9,287 	0.45% 	– 				AL
Alaska 	WTA 	93,007 	37.72% 	– 	130,415 	52.89% 	3 	14,593 	5.92% 	– 	4,445 	1.80% 	– 				AK
Arizona 	WTA 	888,374 	45.32% 	– 	972,900 	49.64% 	11 	80,151 	3.83% 	– 	23,697 	1.21% 	– 				AZ
Arkansas 	WTA 	378,632 	33.65% 	– 	681,765 	60.59% 	6 	29,518 	2.63% 	– 	9,406 	0.84% 	– 	13,180 	1.17% 	– 	AR
California 	WTA 	6,191,799 	61.78% 	55 	3,287,273 	32.80% 	– 	324,525 	3.24% 	– 	176,069 	1.76% 	– 				CA
Colorado 	WTA 	1,126,384 	46.91% 	9 	1,075,770 	44.80% 	– 	129,451 	5.0% 	– 	29,299 	1.22% 	– 	24,679 	1.03% 	– 	CO
Connecticut 	WTA 	823,360 	53.86% 	7 	637,919 	41.73% 	– 	48,051 	3.01% 	– 	21,539 	1.41% 	– 	1,481 	0.10% 	– 	CT
Delaware 	WTA 	235,581 	53.35% 	3 	185,103 	41.92% 	– 	14,751 	3.35% 	– 	5,865 	1.38% 	– 				DE
Washington, D.C. 	WTA 	260,223 	90.54% 	3 	11,553 	4.02% 	– 	4,501 	1.57% 	– 	3,995 	1.39% 	– 				DC
Florida 	WTA 	4,487,657 	47.79% 	– 	4,607,146 	49.06% 	29 	206,007 	2.20% 	– 	64,060 	0.68% 	– 				FL
Georgia 	WTA 	1,856,509 	45.74% 	– 	2,078,064 	51.20% 	16 	123,641 	3.10% 	– 			– 				GA
Hawaii 	WTA 	266,827 	60.98% 	4 	128,815 	29.44% 	– 	15,949 	3.70% 	– 	12,727 	2.91% 	– 				HI
Idaho 	WTA 	190,971 	27.46% 	– 	412,525 	59.32% 	4 	28,256 	4.10% 	– 	8,524 	1.23% 	– 	46,702 	6.72% 	– 	ID
Illinois 	WTA 	2,982,415 	55.41% 	20 	2,121,573 	39.41% 	– 	204,491 	3.80% 	– 	74,026 	1.38% 	– 				IL
